"","gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj","description"
"175","UBA1",8.34396979639299e-264,0.319637218708231,0.14,0.783,1.81297775736027e-259,"ubiquitin like modifier activating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:12469]"
"176","BAZ1A",1.16145662921308e-263,0.250923101787334,0.187,0.912,2.52361296395418e-259,"bromodomain adjacent to zinc finger domain 1A [Source:HGNC Symbol;Acc:HGNC:960]"
"177","PKP2",1.69351027981506e-263,0.28321721238829,0.121,0.734,3.67965913598216e-259,"plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]"
"178","SMG1",2.50629240898505e-263,0.309122855165696,0.147,0.801,5.44567214624272e-259,"SMG1 nonsense mediated mRNA decay associated PI3K related kinase [Source:HGNC Symbol;Acc:HGNC:30045]"
"179","RPL36AL",3.22987235739057e-263,-0.603621747998207,0.518,1,7.01786665813823e-259,"ribosomal protein L36a like [Source:HGNC Symbol;Acc:HGNC:10346]"
"180","SERPINB6",6.67837722819638e-263,0.290843487398977,0.161,0.839,1.45107780414251e-258,"serpin family B member 6 [Source:HGNC Symbol;Acc:HGNC:8950]"
"181","PRSS3",1.07203494234942e-262,-0.644702504327749,0.31,0.992,2.32931752273682e-258,"serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]"
"182","KRT10",1.98761297141773e-262,-0.261476125884518,0.23,0.99,4.31868546429643e-258,"keratin 10 [Source:HGNC Symbol;Acc:HGNC:6413]"
"183","CALCOCO2",2.08885798523008e-262,0.275578420532249,0.125,0.743,4.53867063030793e-258,"calcium binding and coiled-coil domain 2 [Source:HGNC Symbol;Acc:HGNC:29912]"
"184","SLC44A1",2.53697173904868e-262,0.316003772345622,0.156,0.825,5.51233219460497e-258,"solute carrier family 44 member 1 [Source:HGNC Symbol;Acc:HGNC:18798]"
"185","IL32",1.03110797930691e-261,-0.316126261032081,0.233,0.978,2.24039141743806e-257,"interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]"
"186","SRPRB",1.52497058553001e-261,0.252008811769551,0.124,0.738,3.31345608823961e-257,"SRP receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:24085]"
"187","SPINK4",3.26749761591354e-261,-0.456968208343608,0.075,0.597,7.09961881985695e-257,"serine peptidase inhibitor, Kazal type 4 [Source:HGNC Symbol;Acc:HGNC:16646]"
"188","U2SURP",4.75111132479188e-261,0.289910247392029,0.195,0.928,1.03232146865078e-256,"U2 snRNP associated SURP domain containing [Source:HGNC Symbol;Acc:HGNC:30855]"
"189","KHSRP",1.02357955823458e-260,0.316657783422355,0.173,0.867,2.22403366413209e-256,"KH-type splicing regulatory protein [Source:HGNC Symbol;Acc:HGNC:6316]"
"190","MZT2A",2.47107626669635e-260,-0.353133971702839,0.235,0.999,5.36915451227783e-256,"mitotic spindle organizing protein 2A [Source:HGNC Symbol;Acc:HGNC:33187]"
"191","DNAJB1",3.72703618467511e-260,0.259840889410944,0.154,0.816,8.09810422206207e-256,"DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]"
"192","CMC2",1.20383202421019e-259,0.265257445136883,0.164,0.842,2.61568622220389e-255,"C-X9-C motif containing 2 [Source:HGNC Symbol;Acc:HGNC:24447]"
"193","POR",1.63526000739434e-259,0.262646642127436,0.183,0.893,3.55309294406642e-255,"cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]"
"194","CKAP4",7.17461166018652e-259,0.272581150690823,0.14,0.776,1.55889962152533e-254,"cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]"
"195","SLC38A2",8.66708846538549e-259,0.328401272756613,0.137,0.768,1.88318498175896e-254,"solute carrier family 38 member 2 [Source:HGNC Symbol;Acc:HGNC:13448]"
"196","C1orf131",1.21068590747585e-258,0.305023085721607,0.129,0.747,2.63057833976352e-254,"chromosome 1 open reading frame 131 [Source:HGNC Symbol;Acc:HGNC:25332]"
"197","DNAJC10",1.34796330336716e-258,0.254003557902604,0.115,0.712,2.92885466555616e-254,"DnaJ heat shock protein family (Hsp40) member C10 [Source:HGNC Symbol;Acc:HGNC:24637]"
"198","TIMM10",1.44964561243314e-258,0.266741594835702,0.188,0.906,3.14978998669473e-254,"translocase of inner mitochondrial membrane 10 [Source:HGNC Symbol;Acc:HGNC:11814]"
"199","WAC",5.65027748009327e-258,0.328663953408335,0.143,0.783,1.22769229087466e-253,"WW domain containing adaptor with coiled-coil [Source:HGNC Symbol;Acc:HGNC:17327]"
"200","WSB2",2.46598632812743e-257,0.327469121721752,0.165,0.843,5.35809509375528e-253,"WD repeat and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:19222]"
"201","PPP1CC",5.69675546493097e-256,0.288953510580265,0.187,0.901,1.2377910274202e-251,"protein phosphatase 1 catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9283]"
"202","AKAP1",6.68856809096082e-256,0.310279783160721,0.171,0.857,1.45329207480397e-251,"A-kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:367]"
"203","TNRC6B",1.32968029032916e-254,0.314399148228464,0.149,0.795,2.8891293348272e-250,"trinucleotide repeat containing adaptor 6B [Source:HGNC Symbol;Acc:HGNC:29190]"
"204","SPOP",1.47970136964188e-254,0.262856884003688,0.116,0.708,3.21509513595787e-250,"speckle type BTB/POZ protein [Source:HGNC Symbol;Acc:HGNC:11254]"
"205","FAM120A",4.577893413689e-254,0.33054600777258,0.173,0.858,9.94684680926347e-250,"family with sequence similarity 120A [Source:HGNC Symbol;Acc:HGNC:13247]"
"206","PRPF8",7.62630055596077e-253,0.269642861703858,0.109,0.687,1.65704258479916e-248,"pre-mRNA processing factor 8 [Source:HGNC Symbol;Acc:HGNC:17340]"
"207","NF1",1.30518485875046e-252,0.25232930318491,0.092,0.642,2.83590566109299e-248,"neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]"
"208","CNOT7",2.14231299308888e-252,0.316590168940204,0.196,0.919,4.65481767138351e-248,"CCR4-NOT transcription complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:14101]"
"209","THUMPD1",2.37403338513525e-252,0.369461237548973,0.15,0.794,5.15829973922187e-248,"THUMP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23807]"
"210","CEMIP",3.65043154120114e-252,0.254784264682869,0.141,0.77,7.93165765272183e-248,"cell migration inducing hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:29213]"
"211","CNIH4",1.80783424817133e-251,0.279602728487982,0.159,0.816,3.92806225442667e-247,"cornichon family AMPA receptor auxiliary protein 4 [Source:HGNC Symbol;Acc:HGNC:25013]"
"212","SF3B3",2.11340277419811e-250,0.281715695480032,0.112,0.692,4.59200154777765e-246,"splicing factor 3b subunit 3 [Source:HGNC Symbol;Acc:HGNC:10770]"
"213","PPP2R5E",3.09915555677423e-250,0.347511713784383,0.165,0.831,6.73384519375905e-246,"protein phosphatase 2 regulatory subunit B'epsilon [Source:HGNC Symbol;Acc:HGNC:9313]"
"214","SMC3",6.6364924307856e-250,0.280646104089537,0.152,0.796,1.44197707536109e-245,"structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]"
"215","CLCN3",9.53030508877442e-250,0.304829195637579,0.139,0.761,2.07074468968891e-245,"chloride voltage-gated channel 3 [Source:HGNC Symbol;Acc:HGNC:2021]"
"216","GNAI3",1.50268758315952e-249,0.309558308929101,0.12,0.71,3.265039580689e-245,"G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]"
"217","EFCAB14",1.63590499191176e-249,0.309060307103995,0.147,0.783,3.55449436642588e-245,"EF-hand calcium binding domain 14 [Source:HGNC Symbol;Acc:HGNC:29051]"
"218","PNO1",1.83005995518312e-249,0.293006970016083,0.129,0.734,3.97635427062187e-245,"partner of NOB1 homolog [Source:HGNC Symbol;Acc:HGNC:32790]"
"219","PSME4",2.46386515592069e-249,0.331443741143088,0.161,0.819,5.35348621078447e-245,"proteasome activator subunit 4 [Source:HGNC Symbol;Acc:HGNC:20635]"
"220","RNF213",5.31864070874446e-249,0.250204712459814,0.099,0.656,1.155634253196e-244,"ring finger protein 213 [Source:HGNC Symbol;Acc:HGNC:14539]"
"221","SNRPA",1.3449703610829e-248,0.264888707653548,0.117,0.702,2.92235160056092e-244,"small nuclear ribonucleoprotein polypeptide A [Source:HGNC Symbol;Acc:HGNC:11151]"
"222","ZFAND6",3.75040659991392e-248,0.346850950437528,0.157,0.808,8.14888346029297e-244,"zinc finger AN1-type containing 6 [Source:HGNC Symbol;Acc:HGNC:30164]"
"223","OCIAD1",1.46866297039105e-247,0.30977031046001,0.187,0.888,3.19111090206567e-243,"OCIA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16074]"
"224","STK4",1.75751457868094e-247,0.346863043895717,0.167,0.832,3.81872767655796e-243,"serine/threonine kinase 4 [Source:HGNC Symbol;Acc:HGNC:11408]"
"225","UGP2",1.84019364495482e-247,0.32773084494073,0.189,0.892,3.99837275175782e-243,"UDP-glucose pyrophosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:12527]"
"226","C16orf72",5.5723595040178e-247,0.345311770312789,0.143,0.768,1.21076227303299e-242,"chromosome 16 open reading frame 72 [Source:HGNC Symbol;Acc:HGNC:30103]"
"227","SPTAN1",9.25818026210221e-247,0.31863095530186,0.151,0.789,2.01161740734957e-242,"spectrin alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]"
"228","SNRPC",1.22331970171294e-246,0.284326920566455,0.203,0.928,2.65802904788188e-242,"small nuclear ribonucleoprotein polypeptide C [Source:HGNC Symbol;Acc:HGNC:11157]"
"229","UBR4",1.40540285283248e-246,0.288603352624485,0.17,0.839,3.05365931863442e-242,"ubiquitin protein ligase E3 component n-recognin 4 [Source:HGNC Symbol;Acc:HGNC:30313]"
"230","PGD",1.45016958644238e-246,0.281904403468757,0.194,0.903,3.15092847742201e-242,"phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]"
"231","SLBP",1.5737800522758e-246,0.273532144659282,0.146,0.775,3.41950929758485e-242,"stem-loop binding protein [Source:HGNC Symbol;Acc:HGNC:10904]"
"232","MACF1",1.66224965968632e-246,0.336236328183247,0.181,0.868,3.61173606056643e-242,"microtubule actin crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:13664]"
"233","OAT",2.11583861738666e-246,0.31016876615756,0.167,0.83,4.59729414785773e-242,"ornithine aminotransferase [Source:HGNC Symbol;Acc:HGNC:8091]"
"234","MRPL42",2.2645165580746e-246,0.340775802713629,0.175,0.853,4.92034157738449e-242,"mitochondrial ribosomal protein L42 [Source:HGNC Symbol;Acc:HGNC:14493]"
"235","MRPS35",3.77426875625778e-246,0.335604157220014,0.176,0.854,8.20073115359691e-242,"mitochondrial ribosomal protein S35 [Source:HGNC Symbol;Acc:HGNC:16635]"
"236","PPDPF",6.87758313528144e-246,-0.641621921104972,0.531,1,1.49436126363395e-241,"pancreatic progenitor cell differentiation and proliferation factor [Source:HGNC Symbol;Acc:HGNC:16142]"
"237","PAFAH1B2",1.07303799893929e-245,0.340764656984535,0.157,0.803,2.33149696409528e-241,"platelet activating factor acetylhydrolase 1b catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:8575]"
"238","ACBD3",2.09384833702929e-245,0.294376215511228,0.125,0.717,4.54951366669724e-241,"acyl-CoA binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15453]"
"239","CD46",2.7516661651943e-245,0.320417002764268,0.134,0.741,5.97882024373417e-241,"CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]"
"240","MBNL1",2.86027835546458e-245,0.320889854352429,0.147,0.775,6.21481281075343e-241,"muscleblind like splicing regulator 1 [Source:HGNC Symbol;Acc:HGNC:6923]"
"241","NIFK",5.10680516631668e-245,0.321356187975129,0.16,0.81,1.10960662653729e-240,"nucleolar protein interacting with the FHA domain of MKI67 [Source:HGNC Symbol;Acc:HGNC:17838]"
"242","FAM173A",6.34744737879804e-245,-0.303281695807732,0.24,0.99,1.37917336646524e-240,NA
"243","ISG20L2",6.84797591662962e-245,0.251722860351025,0.115,0.69,1.48792820716528e-240,"interferon stimulated exonuclease gene 20 like 2 [Source:HGNC Symbol;Acc:HGNC:25745]"
"244","TFAM",8.39234850685267e-245,0.301162302290917,0.176,0.853,1.82348948356895e-240,"transcription factor A, mitochondrial [Source:HGNC Symbol;Acc:HGNC:11741]"
"245","ZNF207",1.69971564303752e-244,0.337631389005976,0.203,0.928,3.69314214919193e-240,"zinc finger protein 207 [Source:HGNC Symbol;Acc:HGNC:12998]"
"246","HMGB3",4.71358370902321e-244,0.294474501702677,0.151,0.783,1.02416746829656e-239,"high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]"
"247","SSFA2",6.63528830807796e-244,0.325179937232319,0.135,0.743,1.44171544357918e-239,NA
"248","KDM5A",8.33098022135832e-244,0.257492149961703,0.106,0.666,1.81015538249674e-239,"lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886]"
"249","ZRANB2",6.81176066343816e-243,0.360116606862052,0.173,0.843,1.48005935695184e-238,"zinc finger RANBP2-type containing 2 [Source:HGNC Symbol;Acc:HGNC:13058]"
"250","TARDBP",8.66335034433035e-243,0.343645995737608,0.142,0.76,1.8823727628161e-238,"TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]"
"251","GARS",8.95844010596218e-243,0.296136969351398,0.188,0.88,1.94648986622346e-238,"glycyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:4162]"
"252","POLR1D",3.00594710218766e-242,-0.295256900984165,0.246,0.998,6.53132186363336e-238,"RNA polymerase I and III subunit D [Source:HGNC Symbol;Acc:HGNC:20422]"
"253","AFTPH",3.37277333849317e-242,0.276791915149014,0.125,0.713,7.32836190987795e-238,"aftiphilin [Source:HGNC Symbol;Acc:HGNC:25951]"
"254","TNPO1",6.76149268541659e-242,0.320785591702265,0.154,0.79,1.46913713068732e-237,"transportin 1 [Source:HGNC Symbol;Acc:HGNC:6401]"
"255","GFPT1",9.56137672693314e-242,0.280325838303513,0.164,0.816,2.07749593522803e-237,"glutamine--fructose-6-phosphate transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4241]"
"256","ATRX",1.12582982807772e-241,0.355404737087073,0.167,0.823,2.44620305044728e-237,"ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]"
"257","RBM47",1.16847460394828e-241,0.341112935216252,0.154,0.789,2.53886161945881e-237,"RNA binding motif protein 47 [Source:HGNC Symbol;Acc:HGNC:30358]"
"258","PHACTR2",1.92087686839801e-241,0.25680239658906,0.112,0.678,4.17368125965519e-237,"phosphatase and actin regulator 2 [Source:HGNC Symbol;Acc:HGNC:20956]"
"259","NIP7",2.21867752247963e-241,0.311177730141631,0.127,0.718,4.82074252084374e-237,"nucleolar pre-rRNA processing protein NIP7 [Source:HGNC Symbol;Acc:HGNC:24328]"
"260","EIF3H",4.07681280443352e-241,-0.350239991232073,0.252,0.997,8.85809886147315e-237,"eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273]"
"261","PSMD13",4.91586022194382e-241,0.362708555201873,0.153,0.785,1.06811810902395e-236,"proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]"
"262","SUCLG1",1.00510157665116e-240,0.274704926065218,0.209,0.937,2.18388470574764e-236,"succinate-CoA ligase alpha subunit [Source:HGNC Symbol;Acc:HGNC:11449]"
"263","COPZ1",1.60411599465822e-240,0.285587750883766,0.201,0.914,3.48542323319338e-236,"coatomer protein complex subunit zeta 1 [Source:HGNC Symbol;Acc:HGNC:2243]"
"264","MYCBP",2.86300281878317e-240,0.325940780630236,0.152,0.782,6.22073252465207e-236,"MYC binding protein [Source:HGNC Symbol;Acc:HGNC:7554]"
"265","PSMC2",2.92859845918609e-240,0.318353800351733,0.157,0.795,6.36325873211954e-236,"proteasome 26S subunit, ATPase 2 [Source:HGNC Symbol;Acc:HGNC:9548]"
"266","GNPNAT1",3.93080779096193e-240,0.350927637083669,0.182,0.862,8.54085916820209e-236,"glucosamine-phosphate N-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:19980]"
"267","PDS5A",8.1347585405097e-240,0.367619571521922,0.165,0.816,1.76752033568195e-235,"PDS5 cohesin associated factor A [Source:HGNC Symbol;Acc:HGNC:29088]"
"268","NDUFA9",9.96458724039336e-240,0.310625319884515,0.119,0.695,2.16510551559267e-235,"NADH:ubiquinone oxidoreductase subunit A9 [Source:HGNC Symbol;Acc:HGNC:7693]"
"269","FKBP4",1.20513548427179e-239,0.31191550459285,0.197,0.901,2.61851838022574e-235,"FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]"
"270","NDUFA5",1.9541822152499e-239,0.264691493813838,0.214,0.948,4.24604711729499e-235,"NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]"
"271","STT3B",1.96219885040196e-239,0.386412915930215,0.175,0.842,4.26346566215338e-235,"STT3 oligosaccharyltransferase complex catalytic subunit B [Source:HGNC Symbol;Acc:HGNC:30611]"
"272","BCCIP",9.07399180977452e-239,0.284191193183752,0.103,0.651,1.97159694042781e-234,"BRCA2 and CDKN1A interacting protein [Source:HGNC Symbol;Acc:HGNC:978]"
"273","PLS1",5.02047064971838e-238,0.322157573374129,0.123,0.703,1.09084786277081e-233,"plastin 1 [Source:HGNC Symbol;Acc:HGNC:9090]"
"274","YTHDF2",1.11292869043756e-237,0.336653271375467,0.2,0.906,2.41817145858272e-233,"YTH N6-methyladenosine RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:31675]"
"275","CSNK2A1",4.97073004690669e-237,0.351252070480692,0.2,0.906,1.08004022459189e-232,"casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"276","ATIC",1.23655748195058e-236,0.295769553106329,0.115,0.681,2.68679209678223e-232,"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:794]"
"277","BRI3BP",1.69927594562936e-236,0.329193493978602,0.183,0.859,3.69218677466347e-232,"BRI3 binding protein [Source:HGNC Symbol;Acc:HGNC:14251]"
"278","MYDGF",3.54837799977977e-236,-0.319847464487869,0.256,0.992,7.70991571792149e-232,"myeloid derived growth factor [Source:HGNC Symbol;Acc:HGNC:16948]"
"279","TSPAN3",5.11624594846946e-236,0.346812845706354,0.145,0.756,1.11165791968344e-231,"tetraspanin 3 [Source:HGNC Symbol;Acc:HGNC:17752]"
"280","RHOBTB3",1.16807527507847e-235,0.329714116512158,0.185,0.863,2.53799395769049e-231,"Rho related BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18757]"
"281","NT5C3A",1.20419302814495e-235,0.376894551544768,0.196,0.893,2.61647061155335e-231,"5'-nucleotidase, cytosolic IIIA [Source:HGNC Symbol;Acc:HGNC:17820]"
"282","SF3A3",1.79921541503959e-235,0.31730557372781,0.143,0.75,3.90933525379803e-231,"splicing factor 3a subunit 3 [Source:HGNC Symbol;Acc:HGNC:10767]"
"283","ATP6V1E1",3.87722829520613e-235,0.323389379879587,0.146,0.757,8.42444163982388e-231,"ATPase H+ transporting V1 subunit E1 [Source:HGNC Symbol;Acc:HGNC:857]"
"284","GSTM3",8.29856303517479e-235,0.289724448653432,0.159,0.792,1.80311177628278e-230,"glutathione S-transferase mu 3 [Source:HGNC Symbol;Acc:HGNC:4635]"
"285","ZC3H13",3.7321526697844e-234,0.350269974586829,0.191,0.878,8.10922132090755e-230,"zinc finger CCCH-type containing 13 [Source:HGNC Symbol;Acc:HGNC:20368]"
"286","TMEM33",5.45731269972356e-234,0.341398736681262,0.172,0.826,1.18576490339594e-229,"transmembrane protein 33 [Source:HGNC Symbol;Acc:HGNC:25541]"
"287","IMMT",6.26843896613887e-234,0.364996003072336,0.18,0.847,1.36200641856265e-229,"inner membrane mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:6047]"
"288","ALYREF",2.2172466346971e-233,0.283547527007442,0.181,0.85,4.81763348786985e-229,"Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]"
"289","SEL1L",4.82236324627008e-233,0.318394451736308,0.119,0.684,1.04780308614956e-228,"SEL1L adaptor subunit of ERAD E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:10717]"
"290","PSMD9",7.87367291498043e-233,0.269823988137701,0.107,0.654,1.71079165096695e-228,"proteasome 26S subunit, non-ATPase 9 [Source:HGNC Symbol;Acc:HGNC:9567]"
"291","AHSA1",1.42945771447545e-232,0.274735938280207,0.209,0.923,3.10592572201225e-228,"activator of HSP90 ATPase activity 1 [Source:HGNC Symbol;Acc:HGNC:1189]"
"292","GCLC",1.75933538687176e-232,0.30750135763478,0.12,0.687,3.82268392859496e-228,"glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]"
"293","IMPAD1",2.94261323894512e-232,0.254734845360195,0.091,0.611,6.39371004557996e-228,"inositol monophosphatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26019]"
"294","GLG1",4.04343164060617e-232,0.293648758004416,0.211,0.928,8.78556826870908e-228,"golgi glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:4316]"
"295","ADAM9",4.94462415537793e-232,0.265192289076271,0.103,0.641,1.07436793648052e-227,"ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]"
"296","TTYH3",8.50816420000414e-232,0.311656465842263,0.157,0.782,1.8486539173769e-227,"tweety family member 3 [Source:HGNC Symbol;Acc:HGNC:22222]"
"297","DLD",1.1339496057239e-231,0.284426114084439,0.11,0.66,2.46384570331689e-227,"dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]"
"298","LMO4",1.27723457064921e-231,0.297108753362388,0.141,0.74,2.7751752751066e-227,"LIM domain only 4 [Source:HGNC Symbol;Acc:HGNC:6644]"
"299","G3BP2",2.93462350988906e-230,0.424519469810224,0.185,0.855,6.37634996228696e-226,"G3BP stress granule assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:30291]"
"300","SEC31A",2.2897856324895e-229,0.312701006563727,0.139,0.73,4.97524622227317e-225,"SEC31 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:17052]"
"301","RBPJ",4.03715430213319e-229,0.355433464706194,0.131,0.709,8.77192886767499e-225,"recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:HGNC:5724]"
"302","KRAS",4.15908742748803e-229,0.397995551742343,0.15,0.759,9.03686516244598e-225,"KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]"
"303","SMARCC1",5.27363666684857e-229,0.376178038323793,0.197,0.886,1.14585577497286e-224,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 [Source:HGNC Symbol;Acc:HGNC:11104]"
"304","MOB4",5.37048680595853e-229,0.288944162066599,0.099,0.628,1.16689937319867e-224,"MOB family member 4, phocein [Source:HGNC Symbol;Acc:HGNC:17261]"
"305","NDUFS2",1.45186606209184e-228,0.299890628090113,0.115,0.669,3.15461457971316e-224,"NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708]"
"306","TIA1",3.28824855073413e-228,0.390261513306301,0.151,0.76,7.14470645103511e-224,"TIA1 cytotoxic granule associated RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11802]"
"307","GSE1",5.85364509028605e-228,0.351342065974557,0.138,0.726,1.27188000521735e-223,"Gse1 coiled-coil protein [Source:HGNC Symbol;Acc:HGNC:28979]"
"308","ANKRD17",2.86285564918631e-227,0.327133690945593,0.112,0.658,6.22041275455201e-223,"ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:23575]"
"309","NDUFAF8",3.05537040635546e-227,-0.46514666235166,0.284,0.997,6.63870881892914e-223,"NADH:ubiquinone oxidoreductase complex assembly factor 8 [Source:HGNC Symbol;Acc:HGNC:33551]"
"310","PTCD3",3.39507501461225e-227,0.39096746056545,0.191,0.867,7.37681899174949e-223,"pentatricopeptide repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:24717]"
"311","PSMB4",1.70663802691163e-226,0.383357860130821,0.188,0.857,3.70818310487358e-222,"proteasome subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:9541]"
"312","SPG21",1.92413638522146e-226,0.353779826850439,0.205,0.903,4.1807635378092e-222,"SPG21 abhydrolase domain containing, maspardin [Source:HGNC Symbol;Acc:HGNC:20373]"
"313","GNAQ",2.71529526543315e-226,0.29475471905269,0.109,0.648,5.89979355273315e-222,"G protein subunit alpha q [Source:HGNC Symbol;Acc:HGNC:4390]"
"314","WDR1",5.57501841180422e-226,0.257126221238392,0.213,0.926,1.21134000051682e-221,"WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]"
"315","ABHD17C",8.91222582403753e-226,0.32586588798662,0.128,0.696,1.93644842704688e-221,"abhydrolase domain containing 17C [Source:HGNC Symbol;Acc:HGNC:26925]"
"316","EEF2",4.47483382717274e-225,-0.626293862100959,0.415,1,9.72291893968092e-221,"eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214]"
"317","MZT1",5.88911011384294e-225,0.294209195205618,0.184,0.843,1.27958584553579e-220,"mitotic spindle organizing protein 1 [Source:HGNC Symbol;Acc:HGNC:33830]"
"318","ARID4A",1.19985988459252e-224,0.28408368526025,0.095,0.61,2.60705555724263e-220,"AT-rich interaction domain 4A [Source:HGNC Symbol;Acc:HGNC:9885]"
"319","ESF1",1.89772240213843e-224,0.418869092132514,0.19,0.861,4.12337123536639e-220,"ESF1 nucleolar pre-rRNA processing protein homolog [Source:HGNC Symbol;Acc:HGNC:15898]"
"320","MKLN1",2.24513006563876e-224,0.313841252458476,0.11,0.649,4.87821860661989e-220,"muskelin 1 [Source:HGNC Symbol;Acc:HGNC:7109]"
"321","UBE2G1",3.27895254861132e-224,0.264113423566597,0.099,0.62,7.12450809762267e-220,"ubiquitin conjugating enzyme E2 G1 [Source:HGNC Symbol;Acc:HGNC:12482]"
"322","VCP",3.56068028109797e-224,0.360893653935324,0.209,0.912,7.73664611476967e-220,"valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]"
"323","TAOK1",3.58761923225105e-224,0.306928101362124,0.104,0.632,7.79517906783508e-220,"TAO kinase 1 [Source:HGNC Symbol;Acc:HGNC:29259]"
"324","ZFP91",4.0793912552033e-224,0.295639312868815,0.109,0.646,8.86370131930573e-220,"ZFP91 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:14983]"
"325","RAP1B",1.62317587409865e-223,0.325146789971645,0.168,0.799,3.52683653924155e-219,"RAP1B, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9857]"
"326","SLC35F6",2.28279965873821e-223,0.261142258355228,0.103,0.629,4.96006709850638e-219,"solute carrier family 35 member F6 [Source:HGNC Symbol;Acc:HGNC:26055]"
"327","SMAD5",3.94277174893302e-223,0.279574793490864,0.105,0.634,8.56685445608166e-219,"SMAD family member 5 [Source:HGNC Symbol;Acc:HGNC:6771]"
"328","SPEN",4.28842230557148e-223,0.373683094731153,0.138,0.719,9.3178839855457e-219,"spen family transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:17575]"
"329","METAP1",8.27612737210076e-223,0.309262795363013,0.12,0.672,1.79823695541005e-218,"methionyl aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:15789]"
