"","genes","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","description"
"1017","GATA6-AS1",2.44771131541447e-85,0.332442942776332,0.348,0.081,4.76226713527039e-81,"NCC24","GATA6-AS1","GATA6 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:48840]"
"1018","RAB30-AS1",2.48663398825477e-85,0.431496961582998,0.791,0.49,4.83799508754848e-81,"NCC24","RAB30-AS1",NA
"1019","SRSF6",2.76352735808367e-85,0.467410368516432,0.862,0.621,5.37671882788759e-81,"NCC24","SRSF6","serine and arginine rich splicing factor 6 [Source:HGNC Symbol;Acc:HGNC:10788]"
"1020","RSF1",3.29873547236986e-85,0.412720318923352,0.963,0.797,6.41801973504281e-81,"NCC24","RSF1","remodeling and spacing factor 1 [Source:HGNC Symbol;Acc:HGNC:18118]"
"1021","RBPMS",7.99691319496088e-85,0.421323880424588,0.447,0.15,1.55587943121159e-80,"NCC24","RBPMS","RNA binding protein, mRNA processing factor [Source:HGNC Symbol;Acc:HGNC:19097]"
"1022","AC011511.1",1.65946392188215e-84,0.315868205914895,0.385,0.104,3.22865300641392e-80,"NCC24","AC011511.1","novel transcript"
"1023","C19orf57",1.77955746053425e-84,0.351134779768813,0.517,0.188,3.46230699521544e-80,"NCC24","C19orf57","chromosome 19 open reading frame 57 [Source:HGNC Symbol;Acc:HGNC:28153]"
"1024","ANO6",2.15508814089123e-84,0.460466270293085,0.745,0.453,4.19293948691798e-80,"NCC24","ANO6","anoctamin 6 [Source:HGNC Symbol;Acc:HGNC:25240]"
"1025","IRF9",2.56026810358305e-84,0.288965255938845,0.327,0.069,4.98125762233119e-80,"NCC24","IRF9","interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]"
"1026","LIPT2",3.18493767462889e-84,0.31688425625793,0.399,0.113,6.19661473975797e-80,"NCC24","LIPT2","lipoyl(octanoyl) transferase 2 [Source:HGNC Symbol;Acc:HGNC:37216]"
"1027","ZG16B",3.58130732080908e-84,0.332728674538605,0.453,0.139,6.96779152336614e-80,"NCC24","ZG16B","zymogen granule protein 16B [Source:HGNC Symbol;Acc:HGNC:30456]"
"1028","MTFR1",3.69905171964828e-84,0.428533346961455,0.727,0.428,7.19687502574769e-80,"NCC24","MTFR1","mitochondrial fission regulator 1 [Source:HGNC Symbol;Acc:HGNC:29510]"
"1029","PEBP1",5.86138401522053e-84,0.354109579269714,1,0.994,1.14039087400131e-79,"NCC24","PEBP1","phosphatidylethanolamine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8630]"
"1030","CWC15",8.3078214539157e-84,0.378923061797831,0.966,0.854,1.61636974207384e-79,"NCC24","CWC15","CWC15 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:26939]"
"1031","KRAS",1.88971915768205e-83,0.419683973195773,0.922,0.749,3.67663759318619e-79,"NCC24","KRAS","KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]"
"1032","THAP5",2.07199705928408e-83,0.47600972760642,0.659,0.346,4.03127747854311e-79,"NCC24","THAP5","THAP domain containing 5 [Source:HGNC Symbol;Acc:HGNC:23188]"
"1033","GTPBP3",2.83178265325615e-83,0.395294008037677,0.599,0.279,5.50951633017516e-79,"NCC24","GTPBP3","GTP binding protein 3, mitochondrial [Source:HGNC Symbol;Acc:HGNC:14880]"
"1034","ANXA3",2.95839679868247e-83,0.692285762315934,0.883,0.71,5.75585681151661e-79,"NCC24","ANXA3","annexin A3 [Source:HGNC Symbol;Acc:HGNC:541]"
"1035","TMEM30B",3.14110240788519e-83,0.421626510006973,0.845,0.584,6.11132884478142e-79,"NCC24","TMEM30B","transmembrane protein 30B [Source:HGNC Symbol;Acc:HGNC:27254]"
"1036","ZMYND11",3.45385703746176e-83,0.410216597349627,0.783,0.493,6.71982425208559e-79,"NCC24","ZMYND11","zinc finger MYND-type containing 11 [Source:HGNC Symbol;Acc:HGNC:16966]"
"1037","NSD3",3.66962278523677e-83,0.409585263632459,0.957,0.845,7.13961809095665e-79,"NCC24","NSD3","nuclear receptor binding SET domain protein 3 [Source:HGNC Symbol;Acc:HGNC:12767]"
"1038","SNAPIN",5.08827328735226e-83,0.414416856717176,0.737,0.438,9.89974450787255e-79,"NCC24","SNAPIN","SNAP associated protein [Source:HGNC Symbol;Acc:HGNC:17145]"
"1039","NGRN",5.72971369541653e-83,0.325904346752394,0.477,0.169,1.11477309658024e-78,"NCC24","NGRN","neugrin, neurite outgrowth associated [Source:HGNC Symbol;Acc:HGNC:18077]"
"1040","THAP12",1.39628153516427e-82,0.43911069626714,0.829,0.589,2.7166053548156e-78,"NCC24","THAP12","THAP domain containing 12 [Source:HGNC Symbol;Acc:HGNC:9440]"
"1041","ACAD10",2.20460937728926e-82,0.328484849876507,0.42,0.129,4.28928800445399e-78,"NCC24","ACAD10","acyl-CoA dehydrogenase family member 10 [Source:HGNC Symbol;Acc:HGNC:21597]"
"1042","SEC63",2.28456094052294e-82,0.429433141630983,0.94,0.772,4.44484176588144e-78,"NCC24","SEC63","SEC63 homolog, protein translocation regulator [Source:HGNC Symbol;Acc:HGNC:21082]"
"1043","NHSL1",2.36378588623197e-82,0.419810036829177,0.607,0.285,4.59898182025292e-78,"NCC24","NHSL1","NHS like 1 [Source:HGNC Symbol;Acc:HGNC:21021]"
"1044","LARP1B",2.42080989636198e-82,0.412716509145558,0.922,0.708,4.70992773436187e-78,"NCC24","LARP1B","La ribonucleoprotein domain family member 1B [Source:HGNC Symbol;Acc:HGNC:24704]"
"1045","LAMP1",2.48749519949633e-82,0.440345999674381,0.994,0.915,4.83967066014007e-78,"NCC24","LAMP1","lysosomal associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6499]"
"1046","TFAP4",2.59629744201112e-82,0.358894123406662,0.533,0.212,5.05135630317684e-78,"NCC24","TFAP4","transcription factor AP-4 [Source:HGNC Symbol;Acc:HGNC:11745]"
"1047","PGRMC2",2.68124699364725e-82,0.41447964537669,0.834,0.564,5.21663415084008e-78,"NCC24","PGRMC2","progesterone receptor membrane component 2 [Source:HGNC Symbol;Acc:HGNC:16089]"
"1048","SNHG19",2.97182388552164e-82,0.481258868874706,0.941,0.767,5.78198055167091e-78,"NCC24","SNHG19","small nucleolar RNA host gene 19 [Source:HGNC Symbol;Acc:HGNC:49574]"
"1049","HADH",5.044039936913e-82,0.439738797710364,0.771,0.48,9.81368410125793e-78,"NCC24","HADH","hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]"
"1050","IGF2BP2",5.16240500514805e-82,0.408913987328209,0.915,0.729,1.0043975178016e-77,"NCC24","IGF2BP2","insulin like growth factor 2 mRNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:28867]"
"1051","MAGEF1",5.72603996138366e-82,0.41238291297206,0.859,0.606,1.1140583348868e-77,"NCC24","MAGEF1","MAGE family member F1 [Source:HGNC Symbol;Acc:HGNC:29639]"
"1052","NFE2L2",1.02742792708956e-81,0.384810284769095,0.991,0.927,1.99896377494544e-77,"NCC24","NFE2L2","nuclear factor, erythroid 2 like 2 [Source:HGNC Symbol;Acc:HGNC:7782]"
"1053","FAM198B",1.04874408171113e-81,0.473597323849047,0.629,0.307,2.04043648537718e-77,"NCC24","FAM198B",NA
"1054","TRIM25",1.0839469313193e-81,0.421264532301771,0.807,0.535,2.10892714957482e-77,"NCC24","TRIM25","tripartite motif containing 25 [Source:HGNC Symbol;Acc:HGNC:12932]"
"1055","C1orf56",1.35957827413754e-81,0.396974316377509,0.555,0.224,2.645195490162e-77,"NCC24","C1orf56","chromosome 1 open reading frame 56 [Source:HGNC Symbol;Acc:HGNC:26045]"
"1056","TSPAN6",1.6119536977106e-81,0.447473829683573,0.707,0.419,3.13621711426574e-77,"NCC24","TSPAN6","tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]"
"1057","FAM13A",2.24043312770132e-81,0.348628730635564,0.452,0.153,4.35898669325568e-77,"NCC24","FAM13A","family with sequence similarity 13 member A [Source:HGNC Symbol;Acc:HGNC:19367]"
"1058","MTERF1",2.32601754280064e-81,0.254780107146552,0.327,0.072,4.52549973127292e-77,"NCC24","MTERF1","mitochondrial transcription termination factor 1 [Source:HGNC Symbol;Acc:HGNC:21463]"
"1059","ZNF414",2.57321699038037e-81,0.393244679710005,0.643,0.333,5.00645097648404e-77,"NCC24","ZNF414","zinc finger protein 414 [Source:HGNC Symbol;Acc:HGNC:20630]"
"1060","TRAK1",3.21955074115638e-81,0.449431607152233,0.824,0.564,6.26395792199385e-77,"NCC24","TRAK1","trafficking kinesin protein 1 [Source:HGNC Symbol;Acc:HGNC:29947]"
"1061","HMGB2",4.70744723397546e-81,1.0559082295005,0.86,0.508,9.15880933842265e-77,"NCC24","HMGB2","high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]"
"1062","KCNQ1",4.83680322802989e-81,0.418015142305698,0.659,0.332,9.41048436045494e-77,"NCC24","KCNQ1","potassium voltage-gated channel subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:6294]"
"1063","BPHL",5.25810589825784e-81,0.372072606217231,0.592,0.271,1.02301708356504e-76,"NCC24","BPHL","biphenyl hydrolase like [Source:HGNC Symbol;Acc:HGNC:1094]"
"1064","PIGM",5.67349024498866e-81,0.384142456430849,0.581,0.261,1.10383426206499e-76,"NCC24","PIGM","phosphatidylinositol glycan anchor biosynthesis class M [Source:HGNC Symbol;Acc:HGNC:18858]"
"1065","DTX3L",1.25677183854337e-80,0.37813452739631,0.584,0.267,2.44517528906999e-76,"NCC24","DTX3L","deltex E3 ubiquitin ligase 3L [Source:HGNC Symbol;Acc:HGNC:30323]"
"1066","TMEM218",1.51679435821226e-80,0.395574648008703,0.643,0.335,2.95107510333777e-76,"NCC24","TMEM218","transmembrane protein 218 [Source:HGNC Symbol;Acc:HGNC:27344]"
"1067","SMIM20",1.6495116843176e-80,0.367836558876746,0.983,0.927,3.20928993300831e-76,"NCC24","SMIM20","small integral membrane protein 20 [Source:HGNC Symbol;Acc:HGNC:37260]"
"1068","MTHFS",1.77385619107178e-80,0.404740537220022,0.801,0.535,3.45121460534925e-76,"NCC24","MTHFS","methenyltetrahydrofolate synthetase [Source:HGNC Symbol;Acc:HGNC:7437]"
"1069","CCS",1.95876010443785e-80,0.446653122152669,0.731,0.456,3.81096365919428e-76,"NCC24","CCS","copper chaperone for superoxide dismutase [Source:HGNC Symbol;Acc:HGNC:1613]"
"1070","TMC5",2.89504546774572e-80,0.511986969842982,0.974,0.949,5.63260046204608e-76,"NCC24","TMC5","transmembrane channel like 5 [Source:HGNC Symbol;Acc:HGNC:22999]"
"1071","H3F3A",3.83139713962991e-80,0.285788122217851,1,1,7.45436627486394e-76,"NCC24","H3F3A","H3 histone family member 3A [Source:HGNC Symbol;Acc:HGNC:4764]"
"1072","SLC9A3R2",4.01830183286906e-80,0.388148097014888,0.777,0.46,7.81800804603004e-76,"NCC24","SLC9A3R2","SLC9A3 regulator 2 [Source:HGNC Symbol;Acc:HGNC:11076]"
"1073","SEPT2",4.94335436470543e-80,0.364776862058533,0.977,0.881,9.61779025197089e-76,"NCC24","SEPT2",NA
"1074","AC025181.2",5.34715884446046e-80,0.32451049083286,0.435,0.142,1.04034322477823e-75,"NCC24","AC025181.2","novel transcript"
"1075","DPF2",5.87062529234858e-80,0.403448022486742,0.806,0.55,1.14218885687934e-75,"NCC24","DPF2","double PHD fingers 2 [Source:HGNC Symbol;Acc:HGNC:9964]"
"1076","ZNF721",6.37691948823832e-80,0.383595192027201,0.642,0.326,1.24069345563165e-75,"NCC24","ZNF721","zinc finger protein 721 [Source:HGNC Symbol;Acc:HGNC:29425]"
"1077","HNF4G",9.60084034081341e-80,0.349621744355391,0.489,0.182,1.86793949670866e-75,"NCC24","HNF4G","hepatocyte nuclear factor 4 gamma [Source:HGNC Symbol;Acc:HGNC:5026]"
"1078","CDKL5",1.31055315023952e-79,0.263190912301326,0.322,0.071,2.549812209106e-75,"NCC24","CDKL5","cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]"
"1079","SRPK2",1.41445295508806e-79,0.427558660216293,0.927,0.78,2.75195966941933e-75,"NCC24","SRPK2","SRSF protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:11306]"
"1080","THUMPD3-AS1",1.47986962288103e-79,0.414878642794404,0.961,0.826,2.87923433827732e-75,"NCC24","THUMPD3-AS1","THUMPD3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44478]"
"1081","ZNF250",1.59227782969311e-79,0.255753292934961,0.318,0.07,3.09793574545092e-75,"NCC24","ZNF250","zinc finger protein 250 [Source:HGNC Symbol;Acc:HGNC:13044]"
"1082","DSCC1",1.63453460207668e-79,0.477594717947382,0.501,0.196,3.18015052180038e-75,"NCC24","DSCC1","DNA replication and sister chromatid cohesion 1 [Source:HGNC Symbol;Acc:HGNC:24453]"
"1083","C12orf57",1.99372448082157e-79,0.375555272665659,0.997,0.979,3.87899034988644e-75,"NCC24","C12orf57","chromosome 12 open reading frame 57 [Source:HGNC Symbol;Acc:HGNC:29521]"
"1084","AC004148.2",2.57500139510922e-79,0.400036510500712,0.673,0.375,5.00992271432451e-75,"NCC24","AC004148.2",NA
"1085","ZNF503-AS2",3.38209606303808e-79,0.297729551111696,0.385,0.109,6.5802061002469e-75,"NCC24","ZNF503-AS2","ZNF503 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:23525]"
"1086","RALGAPA2",3.81624769539221e-79,0.44889759495597,0.772,0.506,7.42489151615509e-75,"NCC24","RALGAPA2","Ral GTPase activating protein catalytic alpha subunit 2 [Source:HGNC Symbol;Acc:HGNC:16207]"
"1087","GFPT1",4.86534999126361e-79,0.455727119217928,0.949,0.813,9.46602494300248e-75,"NCC24","GFPT1","glutamine--fructose-6-phosphate transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4241]"
"1088","MBD6",6.10060625283801e-79,0.37674749785913,0.578,0.263,1.18693395255216e-74,"NCC24","MBD6","methyl-CpG binding domain protein 6 [Source:HGNC Symbol;Acc:HGNC:20445]"
"1089","ADIPOR1",6.50188541399089e-79,0.372926030186916,0.967,0.834,1.26500682614607e-74,"NCC24","ADIPOR1","adiponectin receptor 1 [Source:HGNC Symbol;Acc:HGNC:24040]"
"1090","IQGAP2",6.56485362227068e-79,0.414272295393241,0.844,0.581,1.27725792074898e-74,"NCC24","IQGAP2","IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]"
"1091","ITGAV",8.22286996806468e-79,0.441297736997978,0.62,0.308,1.59984158098666e-74,"NCC24","ITGAV","integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]"
"1092","FAM86B1",9.88749405979733e-79,0.315941735874786,0.395,0.119,1.92371084427417e-74,"NCC24","FAM86B1","family with sequence similarity 86 member B1 [Source:HGNC Symbol;Acc:HGNC:28268]"
"1093","PDIA5",1.30386880089529e-78,0.451117691245124,0.631,0.332,2.53680713902187e-74,"NCC24","PDIA5","protein disulfide isomerase family A member 5 [Source:HGNC Symbol;Acc:HGNC:24811]"
"1094","TTC14",2.19830134953872e-78,0.276489362708322,0.37,0.097,4.27701510566254e-74,"NCC24","TTC14","tetratricopeptide repeat domain 14 [Source:HGNC Symbol;Acc:HGNC:24697]"
"1095","TM4SF1-AS1",2.49169003824097e-78,0.379242149204479,0.438,0.147,4.84783213840164e-74,"NCC24","TM4SF1-AS1","TM4SF1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40587]"
"1096","ANP32B",2.52924694849336e-78,0.35231947903404,1,0.998,4.92090286298868e-74,"NCC24","ANP32B","acidic nuclear phosphoprotein 32 family member B [Source:HGNC Symbol;Acc:HGNC:16677]"
"1097","RAB29",4.3318842032092e-78,0.403765750450825,0.592,0.283,8.42811390576382e-74,"NCC24","RAB29","RAB29, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9789]"
"1098","CPSF1",5.52791645806722e-78,0.383433274814414,0.669,0.365,1.07551142608156e-73,"NCC24","CPSF1","cleavage and polyadenylation specific factor 1 [Source:HGNC Symbol;Acc:HGNC:2324]"
"1099","AL050341.2",6.38121511688785e-78,0.348939005386343,0.55,0.231,1.2415292131417e-73,"NCC24","AL050341.2","novel transcript, antisense to ZMPSTE24"
"1100","SYDE2",7.52546575742962e-78,0.251149377379501,0.301,0.062,1.46415461776551e-73,"NCC24","SYDE2","synapse defective Rho GTPase homolog 2 [Source:HGNC Symbol;Acc:HGNC:25841]"
"1101","ABRAXAS2",1.1568549404822e-77,0.37666364393262,0.599,0.284,2.25077697220216e-73,"NCC24","ABRAXAS2","abraxas 2, BRISC complex subunit [Source:HGNC Symbol;Acc:HGNC:28975]"
"1102","TRIM56",1.6795087322905e-77,0.364962425195148,0.977,0.89,3.2676521895444e-73,"NCC24","TRIM56","tripartite motif containing 56 [Source:HGNC Symbol;Acc:HGNC:19028]"
"1103","CBWD1",1.9034079662461e-77,0.397149858388365,0.871,0.641,3.70327053912841e-73,"NCC24","CBWD1","COBW domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17134]"
"1104","RNF26",2.37592846068223e-77,0.470121172024397,0.722,0.437,4.62260641310335e-73,"NCC24","RNF26","ring finger protein 26 [Source:HGNC Symbol;Acc:HGNC:14646]"
"1105","UBR5-AS1",2.57557351842423e-77,0.286432845287374,0.365,0.101,5.01103583744618e-73,"NCC24","UBR5-AS1","UBR5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51661]"
"1106","ENDOD1",3.02417349974678e-77,0.347630989053215,0.479,0.181,5.88383196110733e-73,"NCC24","ENDOD1","endonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29129]"
"1107","RABGAP1L",3.13497422559308e-77,0.4423091722089,0.629,0.339,6.0994058533139e-73,"NCC24","RABGAP1L","RAB GTPase activating protein 1 like [Source:HGNC Symbol;Acc:HGNC:24663]"
"1108","SELENOM",3.64880577766085e-77,0.251735306439186,0.269,0.046,7.09911652101696e-73,"NCC24","SELENOM","selenoprotein M [Source:HGNC Symbol;Acc:HGNC:30397]"
"1109","ARL6IP1",4.56746533177603e-77,0.71382868743107,0.886,0.641,8.88646054950344e-73,"NCC24","ARL6IP1","ADP ribosylation factor like GTPase 6 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:697]"
"1110","ARL6IP4",4.73653356000047e-77,0.270797839205104,1,0.998,9.21539969433692e-73,"NCC24","ARL6IP4","ADP ribosylation factor like GTPase 6 interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:18076]"
"1111","BISPR",5.27126936685785e-77,0.310959757321127,0.442,0.152,1.02557816801586e-72,"NCC24","BISPR","BST2 interferon stimulated positive regulator [Source:HGNC Symbol;Acc:HGNC:51290]"
"1112","NUDCD1",5.68824015699472e-77,0.392684401444801,0.612,0.306,1.10670400494489e-72,"NCC24","NUDCD1","NudC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24306]"
"1113","PPIL6",9.94273509123126e-77,0.294050684017784,0.373,0.104,1.93445853934995e-72,"NCC24","PPIL6","peptidylprolyl isomerase like 6 [Source:HGNC Symbol;Acc:HGNC:21557]"
"1114","SUB1",1.80836816054577e-76,0.281762377234436,1,1,3.51836109315786e-72,"NCC24","SUB1","SUB1 regulator of transcription [Source:HGNC Symbol;Acc:HGNC:19985]"
"1115","ORAI2",1.99048912960911e-76,0.335206495831688,0.378,0.11,3.87269565056749e-72,"NCC24","ORAI2","ORAI calcium release-activated calcium modulator 2 [Source:HGNC Symbol;Acc:HGNC:21667]"
"1116","BMI1",2.19358482513778e-76,0.412877756274645,0.84,0.615,4.26783863578806e-72,"NCC24","BMI1","BMI1 proto-oncogene, polycomb ring finger [Source:HGNC Symbol;Acc:HGNC:1066]"
"1117","LAMP2",2.5040798571961e-76,0.442771032127946,0.766,0.503,4.87193777016073e-72,"NCC24","LAMP2","lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]"
"1118","ZNF362",2.60950148403011e-76,0.303143761182948,0.409,0.128,5.07704608732899e-72,"NCC24","ZNF362","zinc finger protein 362 [Source:HGNC Symbol;Acc:HGNC:18079]"
"1119","TRIB1",2.81270294842736e-76,0.570366010500532,0.811,0.55,5.47239485646028e-72,"NCC24","TRIB1","tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]"
"1120","MCU",2.88815536208505e-76,0.374442715727605,0.645,0.336,5.61919507247268e-72,"NCC24","MCU","mitochondrial calcium uniporter [Source:HGNC Symbol;Acc:HGNC:23526]"
"1121","IL10RB",3.59276760278088e-76,0.285243304723226,0.404,0.124,6.99008864797048e-72,"NCC24","IL10RB","interleukin 10 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:5965]"
"1122","EEF1B2",4.3632800768792e-76,0.25952149256861,1,1,8.48919771757618e-72,"NCC24","EEF1B2","eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:HGNC:3208]"
"1123","DCUN1D4",4.56422665362945e-76,0.353462918533567,0.562,0.249,8.88015937730146e-72,"NCC24","DCUN1D4","defective in cullin neddylation 1 domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28998]"
"1124","PPP4R1",5.95277460414928e-76,0.384127736087515,0.727,0.421,1.15817182698328e-71,"NCC24","PPP4R1","protein phosphatase 4 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:9320]"
"1125","SH3BGRL2",6.00766563353033e-76,0.417130556254106,0.741,0.46,1.16885142565966e-71,"NCC24","SH3BGRL2","SH3 domain binding glutamate rich protein like 2 [Source:HGNC Symbol;Acc:HGNC:15567]"
"1126","AP003068.2",8.24813177560298e-76,0.345916569095339,0.509,0.206,1.60475651826132e-71,"NCC24","AP003068.2","novel transcript, antisense to CAPN1"
"1127","NR1H3",8.49647972814553e-76,0.306750126046595,0.437,0.147,1.65307509590799e-71,"NCC24","NR1H3","nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]"
"1128","PARP8",1.24861344292509e-75,0.286133626979748,0.378,0.11,2.42930231455505e-71,"NCC24","PARP8","poly(ADP-ribose) polymerase family member 8 [Source:HGNC Symbol;Acc:HGNC:26124]"
"1129","PHYH",1.34256897369496e-75,0.375516769411999,0.636,0.329,2.61210219522091e-71,"NCC24","PHYH","phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]"
"1130","C9orf16",1.43472840368375e-75,0.316652516261065,1,0.999,2.7914075822071e-71,"NCC24","C9orf16","chromosome 9 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:17823]"
"1131","CNOT7",1.63874712477652e-75,0.33713481154621,0.984,0.933,3.18834640596519e-71,"NCC24","CNOT7","CCR4-NOT transcription complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:14101]"
"1132","CTSH",1.95576789419451e-75,0.417675059539048,0.784,0.478,3.80514201494483e-71,"NCC24","CTSH","cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]"
"1133","SDR39U1",2.13867098219104e-75,0.398423520656404,0.771,0.506,4.16099826295089e-71,"NCC24","SDR39U1","short chain dehydrogenase/reductase family 39U member 1 [Source:HGNC Symbol;Acc:HGNC:20275]"
"1134","ATXN2",2.36499048397871e-75,0.405801972520854,0.874,0.682,4.60132548562898e-71,"NCC24","ATXN2","ataxin 2 [Source:HGNC Symbol;Acc:HGNC:10555]"
"1135","UBE2Q2",3.07120013299272e-75,0.40005003531036,0.811,0.532,5.97532697875064e-71,"NCC24","UBE2Q2","ubiquitin conjugating enzyme E2 Q2 [Source:HGNC Symbol;Acc:HGNC:19248]"
"1136","PLEKHF2",5.11684207142487e-75,0.351857650289295,0.576,0.267,9.95532793416424e-71,"NCC24","PLEKHF2","pleckstrin homology and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20757]"
"1137","TMTC4",7.36470577345228e-75,0.392172547582407,0.619,0.319,1.43287715528288e-70,"NCC24","TMTC4","transmembrane O-mannosyltransferase targeting cadherins 4 [Source:HGNC Symbol;Acc:HGNC:25904]"
"1138","FKBP2",7.6106957661813e-75,0.398335443022892,0.993,0.977,1.48073696826823e-70,"NCC24","FKBP2","FKBP prolyl isomerase 2 [Source:HGNC Symbol;Acc:HGNC:3718]"
"1139","ZNF518A",1.03419351648016e-74,0.39293077775189,0.927,0.762,2.0121269056638e-70,"NCC24","ZNF518A","zinc finger protein 518A [Source:HGNC Symbol;Acc:HGNC:29009]"
"1140","CACUL1",1.2005806531364e-74,0.365405594776412,0.947,0.806,2.33584971874219e-70,"NCC24","CACUL1","CDK2 associated cullin domain 1 [Source:HGNC Symbol;Acc:HGNC:23727]"
"1141","AC118549.1",1.21866944591491e-74,0.379398019595272,0.661,0.361,2.37104327397205e-70,"NCC24","AC118549.1","zinc finger ZZ-type containing 3 [Source:NCBI gene;Acc:26009]"
"1142","AC117498.2",1.32663094233306e-74,0.262102819516258,0.3,0.066,2.5810931614032e-70,"NCC24","AC117498.2","chromosome 20 open reading frame 27 (C20orf27) pseudogene"
"1143","PLEKHA5",1.46998909453214e-74,0.434706013324624,0.869,0.678,2.86001078232174e-70,"NCC24","PLEKHA5","pleckstrin homology domain containing A5 [Source:HGNC Symbol;Acc:HGNC:30036]"
"1144","BOP1",2.30435379574583e-74,0.502302335758234,0.785,0.56,4.48335074500309e-70,"NCC24","BOP1","BOP1 ribosomal biogenesis factor [Source:HGNC Symbol;Acc:HGNC:15519]"
"1145","SHROOM3",2.36198134918684e-74,0.457555154262175,0.777,0.538,4.59547091297791e-70,"NCC24","SHROOM3","shroom family member 3 [Source:HGNC Symbol;Acc:HGNC:30422]"
"1146","EIF2AK2",2.40438777242196e-74,0.408721090394152,0.846,0.611,4.67797685002416e-70,"NCC24","EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]"
"1147","PTPRF",2.58734300628441e-74,0.384314591880526,0.974,0.868,5.03393455302694e-70,"NCC24","PTPRF","protein tyrosine phosphatase receptor type F [Source:HGNC Symbol;Acc:HGNC:9670]"
"1148","HDLBP",2.66347966695815e-74,0.353035088044928,0.99,0.957,5.18206604003378e-70,"NCC24","HDLBP","high density lipoprotein binding protein [Source:HGNC Symbol;Acc:HGNC:4857]"
"1149","TM4SF5",2.81256900763257e-74,0.293422079013926,0.355,0.097,5.47213426124993e-70,"NCC24","TM4SF5","transmembrane 4 L six family member 5 [Source:HGNC Symbol;Acc:HGNC:11857]"
"1150","RBM4",3.39160632765493e-74,0.4160258881143,0.726,0.46,6.59870927108543e-70,"NCC24","RBM4","RNA binding motif protein 4 [Source:HGNC Symbol;Acc:HGNC:9901]"
"1151","KLHL8",3.49123848187458e-74,0.384535015497687,0.62,0.32,6.79255359033518e-70,"NCC24","KLHL8","kelch like family member 8 [Source:HGNC Symbol;Acc:HGNC:18644]"
"1152","ECSIT",4.21330424188897e-74,0.391277530324413,0.78,0.531,8.19740473301919e-70,"NCC24","ECSIT","ECSIT signalling integrator [Source:HGNC Symbol;Acc:HGNC:29548]"
"1153","MDM4",4.56848255688458e-74,0.452768436093533,0.712,0.42,8.88843966267463e-70,"NCC24","MDM4","MDM4 regulator of p53 [Source:HGNC Symbol;Acc:HGNC:6974]"
"1154","COQ5",5.27093658275516e-74,0.319447542466536,0.482,0.186,1.02551342154084e-69,"NCC24","COQ5","coenzyme Q5, methyltransferase [Source:HGNC Symbol;Acc:HGNC:28722]"
"1155","SDCCAG8",5.74508965585436e-74,0.400357363498263,0.81,0.566,1.11776464344303e-69,"NCC24","SDCCAG8","serologically defined colon cancer antigen 8 [Source:HGNC Symbol;Acc:HGNC:10671]"
